step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
50176,pi,1,0.0000,0.0458,11.4,1000.0
50176,mppi,1,0.0013,0.0277,5.666666666666667,600.6666666666666
100096,pi,1,0.0002,0.0306,7.0,805.6
100096,mppi,1,0.0037,0.0507,11.666666666666666,89.0
150016,pi,1,0.0004,0.0394,7.8,962.4
150016,mppi,1,0.0000,0.0463,14.666666666666666,1000.0
200192,pi,1,0.0000,0.0148,4.6,1000.0
200192,mppi,1,0.0000,0.0337,12.333333333333334,1000.0
250112,pi,1,0.0002,0.0328,6.0,808.0
250112,mppi,1,0.0013,0.0330,7.0,676.6666666666666
300032,pi,1,0.0020,0.0392,6.0,415.4
300032,mppi,1,0.0017,0.0457,11.333333333333334,348.0
350208,pi,1,0.0028,0.0512,7.0,23.8
350208,mppi,1,0.0017,0.0457,8.0,420.6666666666667
400128,pi,1,0.0038,0.0474,7.2,65.4
400128,mppi,1,0.0030,0.0513,13.666666666666666,32.333333333333336
