step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
50176,pi,0,0.0000,0.5366,14.6,1000.0
50176,mppi,0,0.0000,0.5997,14.0,1000.0
100096,pi,0,0.0000,0.7210,14.4,1000.0
100096,mppi,0,0.0000,0.7673,14.0,1000.0
150016,pi,0,0.0000,0.6558,4.4,1000.0
150016,mppi,0,0.0000,0.7243,12.666666666666666,1000.0
200192,pi,0,0.0000,0.4282,6.6,1000.0
200192,mppi,0,0.0000,0.9147,2.0,1000.0
250112,pi,0,0.0000,0.8756,4.4,1000.0
250112,mppi,0,0.0000,0.8073,7.333333333333333,1000.0
300032,pi,0,0.0000,0.8302,7.0,1000.0
300032,mppi,0,0.0063,0.9670,3.0,896.6666666666666
350208,pi,0,0.0000,0.8188,6.4,1000.0
350208,mppi,0,0.0073,0.7117,7.666666666666667,554.6666666666666
400128,pi,0,0.1096,0.9440,1.2,305.8
400128,mppi,0,0.0480,0.7140,13.666666666666666,733.6666666666666
450048,pi,0,0.0212,0.7850,12.8,731.6
450048,mppi,0,0.0607,0.7417,10.666666666666666,489.0
500224,pi,0,0.0024,0.7244,15.2,856.6
500224,mppi,0,0.0083,0.6437,18.0,476.6666666666667
